id,name,description,postcode,expected_price,bedrooms,living_area,facades,garage,garden,garden_area,property_type_id:id,status
1000,Loft lumineux à Bruxelles,Loft moderne au cœur de la capitale,1000,350000,2,75,2,False,False,0,103,2
1001,Maison familiale à Liège,Quartier calme proche des écoles,4000,420000,4,140,3,True,True,40,101,2
1002,Studio cosy à Namur,Petit studio rénové près du centre,5000,135000,1,28,1,False,False,0,104,2
1003,Appartement à Anvers,2 chambres dans immeuble récent,2000,295000,2,85,2,False,False,0,102,1
1004,Château à restaurer près de Dinant,Propriété de charme avec grand terrain,5500,720000,6,260,4,True,True,100,105,2
1005,Loft industriel à Charleroi,Grand espace ouvert dans ancien entrepôt,6000,265000,1,60,1,False,False,0,103,1
1006,Maison 3 façades à Mons,Jardin orienté sud,7000,375000,3,110,3,True,True,30,101,1
1007,Studio à Louvain-la-Neuve,Idéal pour étudiants,1348,125000,1,30,1,False,False,0,104,1
1008,Appartement à Gand,Proche des transports,9000,310000,2,78,2,False,False,0,102,1
1009,Château dans les Ardennes,Vue panoramique,6830,895000,8,300,5,True,True,120,105,2
1010,Loft avec mezzanine à Tournai,Vue sur l’Escaut,7500,280000,2,68,2,False,False,0,103,2
1011,Maison plain-pied à Arlon,Jardin clôturé et terrasse,6700,395000,3,115,1,True,True,35,101,1
1012,Studio économique à Liège,Faibles charges,4000,98000,1,25,1,False,False,0,104,2
1013,Appartement rénové à Bruges,Centre historique,8000,440000,3,100,2,False,False,0,102,1
1014,Petit château à Verviers,Briques rouges et poutres,4800,610000,5,190,4,True,True,80,105,1
1015,Loft à Louvain,Proche de la gare,3000,260000,1,50,1,False,False,0,103,1
1016,Maison avec jardin à Wavre,Quartier résidentiel,1300,415000,4,130,2,True,True,50,101,4
1017,Micro studio à Bruxelles,20 m² fonctionnels,1000,115000,1,20,1,False,False,0,104,0
1018,Appartement à Uccle,Balcon et cuisine équipée,1180,355000,2,85,2,False,False,0,102,0
1019,Château classé à Marche-en-Famenne,Parc arboré,6900,870000,7,270,5,True,True,100,105,4
1020,Loft vue Meuse à Huy,Espace atypique,4500,295000,2,70,2,False,False,0,103,0
1021,Maison 2 façades à Namur,Parfait état,5000,335000,3,105,2,True,True,25,101,4
1022,Studio à Ixelles,Proche de l’ULB,1050,195000,1,33,1,False,False,0,104,0
1023,Appartement à Etterbeek,Rez-de-chaussée avec jardin,1040,320000,2,70,2,False,True,20,102,0
1024,Château à Soignies,Propriété historique,7060,820000,6,240,4,True,True,95,105,0
